Gene,p_value,fold_change
200802_at,5.3606623710979893e-14,881.0588139534885
200803_s_at,1.6142190789094673e-09,1451.89234883721
200804_at,7.058679886400659e-08,1056.7353023255819
200805_at,5.3963507997118495e-06,258.97755813953484
200806_s_at,5.30492842321601e-07,674.1947488372095
200807_s_at,2.105881064843766e-09,2463.260000000001
200808_s_at,0.00013636053354496182,247.399793023256
200809_x_at,1.2382435901813227e-07,2381.8509302325583
200810_s_at,0.09116245271379236,356.0073023255818
200811_at,2.242781844855711e-05,1017.1948837209306
200812_at,0.001153365488205702,445.33141860465093
200813_s_at,4.97920957587774e-06,277.78057906976755
200814_at,0.1199885464887954,110.28353255813948
200815_s_at,4.462800909583173e-09,571.687976744186
200816_s_at,0.9869931256514168,1.3011790697674996
200817_x_at,4.3199492635488576e-07,2921.434186046513
200818_at,0.0005071908718770947,727.4915465116278
200819_s_at,9.487393756193587e-10,2064.642325581396
200820_at,0.00932225726744128,107.88902093023259
200821_at,0.28282724112509866,99.3249441860466
200822_x_at,1.672992622110893e-06,512.5208139534884
200823_x_at,2.3866902669968125e-06,768.2740465116277
200824_at,2.521497549706782e-08,517.449860465116
200825_s_at,0.00022831244801586805,364.57330232558127
200826_at,1.4723895776200226e-07,669.7286046511629
200827_at,1.2819230137492785e-06,296.39790465116283
200828_s_at,1.0408609324409024e-15,1070.2132558139535
200829_x_at,1.1094945426198308e-11,939.131511627907
200830_at,1.591735829759566e-05,610.8109534883718
200831_s_at,1.9311421020648536e-07,200.519346511628
200832_s_at,1.6413586676989585e-05,1839.8786232558134
200833_s_at,0.00045728846876213043,1162.0917674418602
200834_s_at,1.7634027938763485e-06,1746.2469767441853
200835_s_at,1.0594124727375193e-06,86.44259302325582
200836_s_at,1.0394930833288709e-06,418.2065348837209
200837_at,4.241727407957004e-09,980.5550232558139
200838_at,1.9324243331675766e-06,872.4223023255813
200839_s_at,0.042745290591808566,441.66911627906984
200840_at,1.2884431853480171e-06,1067.5877209302325
200841_s_at,6.81965645859891e-05,224.61242558139537
200842_s_at,1.2162914172533475e-09,371.6966790697675
200843_s_at,0.01609084723787593,397.80809999999997
200844_s_at,0.11482739969452481,96.14853488372103
200845_s_at,1.142401010364782e-09,1782.5288372093028
200846_s_at,0.00270336884915678,79.15190465116277
200847_s_at,0.00045188335398970797,636.6800697674425
200848_at,0.007718508278548102,167.2639302325582
200849_s_at,8.05348245678974e-05,230.87437906976743
200850_s_at,2.827023450357176e-10,924.3572093023254
200851_s_at,0.005658289388075901,522.3619534883723
200852_x_at,5.1724220199835015e-08,282.5644046511628
200853_at,9.729051586310601e-08,930.1578837209304
200854_at,0.03850576543575264,195.51920930232563
200855_at,0.009053596483017134,205.01097674418622
200856_x_at,4.053335467397166e-06,534.5384883720932
200857_s_at,5.952346741267308e-11,383.57088372093006
200858_s_at,2.701295393498224e-08,1290.6060000000007
200859_x_at,4.6781968685516495e-11,530.9985348837212
200860_s_at,4.715552614441431e-12,1043.8365116279076
200861_at,5.801254892752073e-10,792.2075813953486
200862_at,0.0002177941186725078,665.2082325581396
200863_s_at,2.2682943182316418e-08,1030.8503953488378
200864_s_at,1.2004457955076887e-10,455.4510465116281
200865_at,0.3510789979347261,21.542146511627863
200866_s_at,3.058951065898862e-06,600.4753976744188
200867_at,0.122175941491208,44.19461627906978
200868_s_at,0.0001900002983587256,313.5082023255815
200869_at,7.299936664499575e-13,683.3363023255814
200870_at,1.8187658536934212e-10,1188.5553023255818
200871_s_at,9.200107311228988e-07,1534.5658139534885
200872_at,0.0038398958956363605,587.085534883721
200873_s_at,0.0006016916262065134,709.5994883720934
200874_s_at,0.01945705400941131,118.65258139534888
200875_s_at,1.316787772409147e-05,304.02006976744167
200876_s_at,0.0005209778591455102,359.7417860465116
200877_at,2.6654324166338485e-06,1201.087720930232
200878_at,0.09355140204409898,573.1548627906975
200879_s_at,0.0009461009247849427,205.63627906976728
200880_at,2.56722135849845e-05,790.0634883720927
200881_s_at,5.128324109842567e-09,833.1155116279072
200882_s_at,2.666542523291342e-07,387.80151162790685
200883_at,5.237512388693619e-06,564.714
200884_at,6.672558683781828e-06,316.47983488372086
200885_at,5.303423454469778e-06,360.95432558139544
200886_s_at,4.600165475878545e-06,815.4146744186041
200887_s_at,0.00015102399106806173,861.6047674418601
200888_s_at,0.00202212047720736,834.5783953488365
200889_s_at,0.003132894926982013,240.33535813953495
200890_s_at,0.0004223031320014556,329.23662558139523
200891_s_at,4.38055495839549e-05,817.6828372093025
200892_s_at,1.5479820639646211e-06,234.25418604651156
200893_at,2.850174743328078e-05,901.7941627906976
200894_s_at,9.384596466862587e-06,320.0743488372093
200895_s_at,0.36806220811267676,148.01606976744176
200896_x_at,7.529426478154687e-05,551.3149534883723
200897_s_at,0.0005186571102661279,700.733744186047
200898_s_at,4.051079851255907e-09,353.2802790697673
200899_s_at,8.174014894877875e-05,611.9768372093022
200900_s_at,2.317341242214228e-05,44.15218372093025
200901_s_at,0.0968804656332095,111.44406976744187
200902_at,3.1647223067793374e-06,567.8760697674419
