Gene,p_value,fold_change
200809_x_at,1.2382435901813227e-07,2381.8509302325583
213214_x_at,2.0775725969723447e-07,2369.020325581396
217232_x_at,0.0009151894893146791,2365.452488372093
208782_at,8.967040634338763e-08,2361.5276744186044
212988_x_at,1.972725059308847e-09,2358.7509302325598
211927_x_at,1.1611157936560283e-07,2351.596837209304
200689_x_at,1.087568625525464e-07,2337.1291162790694
219071_x_at,1.6892691531651278e-07,2324.317209302322
211995_x_at,3.402360889666936e-08,2323.273953488372
201348_at,0.00011244228042469824,2318.4702093023257
203980_at,0.004116930995240191,2311.1672325581403
208856_x_at,1.3398779147531454e-08,2310.81488372093
200019_s_at,4.424479950994939e-11,2301.4534883720935
200099_s_at,2.9428136766733637e-06,2295.4660465116285
208635_x_at,5.059914682743059e-07,2290.855813953488
71933_at,1.9028970325107328e-06,2283.97465116279
208834_x_at,3.9952920868216555e-09,2283.774418604651
200016_x_at,8.574210902842898e-07,2278.944418604651
211945_s_at,1.1174821220691783e-06,2270.7281395348837
211345_x_at,4.7561061807558374e-07,2261.239255813954
208788_at,4.301643659827425e-07,2261.2204651162797
200936_at,8.897101580547329e-08,2245.499162790697
213503_x_at,4.052561528431746e-08,2244.13534883721
207175_at,0.000439078379623906,2243.468418604651
207243_s_at,6.139311054368675e-07,2240.7458139534883
208825_x_at,7.638736880144572e-07,2215.460930232559
211509_s_at,3.698484816272704e-08,2207.9444186046503
216526_x_at,1.9178007776662184e-06,2199.792093023255
200668_s_at,1.352103477068682e-13,2196.2337209302327
208306_x_at,1.150263948230496e-07,2189.4816279069764
201540_at,0.0007113287570944237,2187.4303953488366
211745_x_at,0.006811225127338251,2185.1708372093035
210427_x_at,3.463273094251836e-07,2181.0023255813953
201590_x_at,5.4256992866237796e-08,2177.7083720930227
209312_x_at,2.4793512367003296e-08,2174.2309302325584
211983_x_at,8.513596931736482e-07,2162.4825581395344
209134_s_at,4.840214395316489e-07,2153.8241860465114
201994_at,2.268364909905775e-10,2149.4134883720917
204151_x_at,0.0034440126633229367,2139.6101627906974
202698_x_at,5.424769273829913e-10,2139.510697674421
211956_s_at,1.821796540901238e-07,2127.6272093023263
206227_at,1.6366840520890676e-09,2124.407651162792
212363_x_at,4.937185682004333e-06,2122.2769767441855
200735_x_at,1.6012185712493914e-06,2120.116279069767
213646_x_at,1.0787441747539275e-10,2117.0643953488366
58367_s_at,3.5072349011007685e-14,2106.9069767441856
211058_x_at,6.761676905080159e-09,2102.3636046511633
211750_x_at,2.735765705533172e-07,2100.440674418605
215157_x_at,6.781060654237624e-07,2100.381162790697
200006_at,3.0907150929013528e-06,2097.3111627906974
201030_x_at,1.0963753800705991e-05,2070.963883720931
200819_s_at,9.487393756193587e-10,2064.642325581396
213101_s_at,1.0079405632190496e-09,2061.4122790697675
200031_s_at,6.239226766613091e-08,2060.4738372093016
213377_x_at,1.7339433266736303e-08,2051.6118604651156
200015_s_at,2.5619080851961534e-10,2049.731534883719
200645_at,1.127006480351002e-13,2045.3076744186055
AFFX-HSAC07/X00351_3_at,6.591043582731311e-07,2040.5512558139535
201315_x_at,1.1912744506535618e-07,2034.7493488372093
218665_at,8.514475916048053e-06,2031.3613953488375
215001_s_at,4.116772444131444e-07,2027.1958139534877
200032_s_at,3.60446990154127e-05,2018.2593023255822
213347_x_at,6.705365044033109e-06,2017.5006976744198
212039_x_at,5.611089350682179e-07,1999.6762790697667
213414_s_at,1.8410865046217042e-07,1998.2337209302323
200092_s_at,1.1648148372923455e-07,1990.5074418604663
213941_x_at,3.2559529433006585e-08,1989.415348837209
201432_at,1.5371553774868175e-05,1980.0129534883722
215479_at,4.689953642357397e-07,1979.7913953488378
212971_at,1.5184957189806822e-15,1978.4960465116283
216520_s_at,2.3772390696174667e-06,1976.3076046511637
36888_at,1.6986418428869069e-12,1975.1481395348837
200718_s_at,7.280515028548771e-10,1974.2881395348832
208870_x_at,7.840523458883419e-10,1973.7486046511626
200981_x_at,6.162477910601488e-09,1964.7390697674414
211430_s_at,0.00010108922156370936,1962.1306976744195
213801_x_at,2.744674312716382e-09,1958.012093023256
213187_x_at,7.699273528824641e-06,1956.2769395348841
201425_at,0.0001254711865106907,1952.0730000000003
200738_s_at,3.673135471449238e-10,1948.0683720930224
215121_x_at,0.0030281204503649177,1941.2654651162793
212042_x_at,5.729619167215505e-06,1939.6344186046508
208718_at,1.8733867491625435e-06,1935.7965116279065
211940_x_at,5.427384774949252e-11,1935.4944186046514
200059_s_at,1.8818164879984863e-09,1932.6195348837205
200665_s_at,6.016946135459677e-07,1928.3220441860467
201163_s_at,1.6301629471349003e-08,1925.6188372093025
212082_s_at,4.1598050383105225e-06,1917.407441860465
200781_s_at,2.5247849831920225e-08,1916.281860465116
217731_s_at,1.3882425467694534e-08,1910.962325581395
211972_x_at,1.2531762060920053e-08,1910.2385581395356
201893_x_at,4.1866672747663445e-07,1907.6018604651154
202649_x_at,7.589977310566674e-07,1906.3490697674424
216438_s_at,1.4439437578241242e-06,1902.0503488372092
200795_at,3.036585053540816e-06,1901.5041860465117
200780_x_at,2.8316375242818942e-08,1895.3062093023264
201852_x_at,2.2757910565954485e-05,1895.297
214327_x_at,8.017813793730232e-09,1894.2267441860477
214749_s_at,8.563671337238167e-10,1891.541162790697
201754_at,0.00017072555716664528,1890.5764186046504
213564_x_at,2.1247987526186433e-06,1887.7576279069754
213524_s_at,5.603607005630802e-05,1885.2644883720932
202088_at,0.003605137482390425,1882.8186976744191
203107_x_at,1.03122908262937e-06,1882.7999999999997
201438_at,8.147712213304117e-06,1874.503302325582
201612_at,4.104439675692861e-09,1864.5562790697672
201090_x_at,2.154817166420864e-07,1859.8261860465107
33323_r_at,2.801547416053091e-06,1854.6286046511623
209678_s_at,1.0163348519865195e-10,1852.5460465116275
201049_s_at,3.263104781751861e-08,1851.4465116279052
200022_at,5.577273375800621e-07,1849.2156279069773
203549_s_at,0.0019455416393506046,1842.8593023255808
200832_s_at,1.6413586676989585e-05,1839.8786232558134
219939_s_at,5.671835889648264e-10,1829.2904651162785
200725_x_at,8.659818360180494e-07,1822.2248139534881
209251_x_at,1.7791131607004207e-07,1817.424604651162
201721_s_at,8.971493610626917e-12,1816.7291627906975
214414_x_at,0.00890600698991574,1813.8329534883728
214459_x_at,1.6634266986744336e-07,1813.578604651164
AFFX-HUMGAPDH/M33197_3_at,2.2746189172774983e-09,1812.8569767441859
209001_s_at,4.809316933942482e-10,1810.9251162790679
203083_at,5.329289688551176e-07,1808.0604651162798
201553_s_at,3.1610417473203502e-06,1807.6372093023265
210495_x_at,0.00043610133436623624,1806.676046511628
216442_x_at,0.0002962593464242329,1803.88811627907
205711_x_at,7.909897144274507e-08,1803.6251162790686
200748_s_at,6.743880405218035e-05,1802.8863255813962
217982_s_at,1.7840451974808837e-07,1802.8779069767443
201009_s_at,2.556172829534465e-08,1802.0723720930228
202403_s_at,3.167723091600914e-06,1798.6306976744186
216231_s_at,9.146515053721591e-07,1798.6056744186044
201322_at,8.539906734727373e-13,1797.7801395348833
201121_s_at,2.5411586839763536e-11,1792.5444418604661
201842_s_at,0.0001203628597689214,1788.8901162790694
213297_at,2.1068806962401554e-14,1788.7660465116282
200675_at,2.2316498711530558e-08,1782.7460465116283
200845_s_at,1.142401010364782e-09,1782.5288372093028
200794_x_at,7.874099083158855e-11,1781.8104651162785
58900_at,7.619121971147358e-12,1774.2690697674407
209612_s_at,0.002393576227592665,1771.9431395348834
201010_s_at,0.00013465779934909556,1771.9199999999987
204670_x_at,3.615962002643317e-08,1771.4742558139537
218631_at,1.171258286772822e-10,1770.823953488372
200640_at,3.566491080870896e-07,1770.3763255813947
208949_s_at,4.3728338540434605e-06,1769.7509302325589
214328_s_at,7.763594228422778e-06,1764.2851162790694
207168_s_at,1.2317934558973389e-08,1754.6900000000005
214288_s_at,1.4779556097308353e-10,1753.5411627906979
201592_at,5.8164177868881514e-09,1749.9223255813954
209555_s_at,0.0025006654466402604,1747.0693651162787
217732_s_at,2.7668496707122304e-08,1746.7169767441846
217733_s_at,6.777442905369082e-05,1746.4142093023252
200834_s_at,1.7634027938763485e-06,1746.2469767441853
211755_s_at,6.237876612562192e-08,1744.6062325581393
211072_x_at,6.962909190744993e-09,1744.421069767442
205967_at,4.241327666008367e-11,1743.2581395348825
208768_x_at,3.1114111204480496e-06,1742.222558139535
212607_at,2.5248026612022617e-12,1738.5825581395352
200064_at,1.1563910761730109e-09,1737.3648837209307
212273_x_at,2.1147679477303875e-07,1735.5501162790692
206158_s_at,9.170469015487533e-10,1733.7932558139532
211666_x_at,2.629033214159991e-10,1728.725
200674_s_at,6.407114612152886e-08,1728.1497674418597
213366_x_at,8.713033115714715e-08,1721.2041162790701
200033_at,1.3753435920632875e-06,1718.6156279069755
201185_at,1.0710130863628453e-08,1713.190790697674
208680_at,2.8898995937423394e-09,1713.1106511627916
202450_s_at,5.595618129458757e-09,1712.9551162790704
202443_x_at,1.1930250412628141e-10,1712.5599999999995
201141_at,2.9291641965721573e-08,1712.4281162790703
202292_x_at,2.1860008439435423e-11,1711.0218604651159
208812_x_at,2.499183472055777e-06,1709.3276511627896
200741_s_at,0.00031525079191068,1708.3102325581394
200801_x_at,0.0001336203540273635,1706.752139534884
211787_s_at,5.47317169908877e-10,1705.8246744186047
211896_s_at,4.5740464459749235e-06,1703.4401116279075
221475_s_at,3.556385235277655e-06,1703.013488372094
207847_s_at,3.0011413407216688e-09,1700.876720930233
214167_s_at,8.862271396255789e-09,1698.1313279069766
208120_x_at,5.775342335420036e-10,1691.783255813954
51774_s_at,2.251478768284426e-12,1689.897209302324
200009_at,7.2978220625365655e-09,1687.5667441860455
200034_s_at,3.420166743293237e-07,1686.3783720930228
212464_s_at,0.0014211707867349908,1678.8070697674414
213453_x_at,4.0371132854176274e-08,1672.3795116279073
204620_s_at,1.3302162548290094e-05,1670.8294651162792
212412_at,1.231426490708979e-10,1665.657674418605
AFFX-HUMGAPDH/M33197_5_at,4.2265112483755546e-10,1665.6137441860467
202488_s_at,8.802141626524739e-10,1665.2655813953475
221748_s_at,0.0014502477141680062,1660.8828604651158
208726_s_at,3.329037839524316e-14,1660.8448837209307
212077_at,5.5789972320038154e-08,1656.6218604651158
201343_at,1.4480844531193706e-15,1655.4084186046507
201358_s_at,4.579039363143069e-10,1654.474883720929
211714_x_at,4.865734519056725e-12,1653.4609302325575
210434_x_at,7.039235002408113e-09,1651.9472093023255
212433_x_at,3.665903467078249e-07,1651.3313953488378
216594_x_at,0.0016886737371424462,1651.2786511627905
220960_x_at,9.199481664679724e-09,1650.9060465116272
213588_x_at,1.8898070597341037e-05,1649.9665116279066
208982_at,2.2842730262709438e-07,1645.3100232558145
202442_at,3.1045628748115624e-10,1643.8488372093025
201290_at,1.2235300523891919e-08,1639.9900465116275
209948_at,1.1197425506332503e-12,1636.2155813953486
200700_s_at,1.503145834307618e-11,1635.9100232558137
211813_x_at,9.448376371529595e-06,1632.8359767441857
202029_x_at,2.2249632248423372e-09,1630.3730232558146
211937_at,1.0608069686655376e-09,1629.2231627906983
205382_s_at,0.011363783356931464,1626.7987534883712
219398_at,0.0005590009956130898,1626.779674418604
219269_at,7.132905692942552e-10,1626.275348837209
218101_s_at,1.6576668416184805e-08,1624.856046511628
209699_x_at,0.010634238301424466,1622.8932883720936
210131_x_at,4.755192877276246e-19,1621.0800000000004
217927_at,9.235102772101004e-09,1620.1079069767452
218191_s_at,1.382273954496734e-14,1619.5746511627908
215394_at,3.88875645189679e-14,1618.6512325581396
201775_s_at,3.1379001502932285e-12,1618.301860465116
204246_s_at,6.503077126211611e-09,1618.2988604651166
208692_at,3.0386696781990088e-05,1616.239488372093
214271_x_at,9.434357772200544e-10,1616.196511627907
205392_s_at,4.1082385717392364e-07,1612.3821860465114
221726_at,3.503162119179374e-08,1611.4158139534884
211969_at,6.742083348185614e-06,1604.2026511627905
217993_s_at,4.943548025168809e-10,1604.02
202059_s_at,1.3408850241493431e-09,1603.1176744186055
200705_s_at,2.2930076617725404e-08,1602.999302325582
221775_x_at,3.9125958787256354e-06,1602.3830232558148
201289_at,3.7872191416859555e-05,1599.8516744186054
208861_s_at,2.1950266500165035e-12,1594.9181395348846
200761_s_at,1.1995738066038303e-09,1594.2804651162792
202878_s_at,2.5817702652281055e-09,1591.3220930232555
200077_s_at,1.5236289560283804e-08,1591.3127906976742
217718_s_at,1.3928277136457107e-08,1589.1267441860468
208640_at,3.2105806456726024e-10,1584.8358139534885
211858_x_at,5.036021785762281e-09,1581.750046511628
210453_x_at,4.4252985655824423e-14,1580.4672325581396
202194_at,1.3279649223475692e-11,1580.0293023255804
202081_at,6.464769586467887e-08,1573.2059069767442
211161_s_at,0.0002898613927585254,1571.3629302325585
200663_at,4.625743629201877e-08,1570.7055813953489
220274_at,1.936816625170447e-10,1570.108162790698
208113_x_at,5.108589861159291e-07,1562.8181395348843
217724_at,4.1369705477378195e-08,1562.4095581395336
211980_at,4.3496320777621694e-05,1558.5371395348834
208405_s_at,5.5654146304035045e-06,1557.7662558139536
211997_x_at,2.1372989830707287e-07,1555.9311627906973
213890_x_at,2.7359010369953216e-06,1555.8886976744188
221817_at,8.143106717440536e-09,1555.3718604651162
206101_at,2.647466155025371e-07,1554.9691860465125
202404_s_at,0.00043451253299486446,1554.1899302325592
206861_s_at,2.6756521581942653e-06,1553.2839534883724
201426_s_at,0.00023165196357661025,1549.1320488372094
213455_at,5.24213273108602e-10,1548.75
200089_s_at,8.506936933224455e-08,1548.2368139534883
220574_at,2.6184180474662794e-07,1544.3479999999986
208626_s_at,1.7409395306944843e-07,1541.922558139534
200937_s_at,1.4328565996543527e-06,1541.8658139534891
56197_at,6.541918281305867e-12,1540.3597674418606
200080_s_at,1.4006897822107007e-06,1539.3727906976733
201963_at,0.0014052537900470662,1536.6918441860466
211719_x_at,0.007426630902726895,1535.8004046511624
208616_s_at,2.2980115768483203e-08,1535.6347209302326
200871_s_at,9.200107311228988e-07,1534.5658139534885
213932_x_at,4.858490087694917e-07,1533.2388372093028
209458_x_at,0.005101099679192719,1531.5653488372095
209026_x_at,2.3181381785280468e-09,1531.1800000000007
201137_s_at,7.315636956985789e-09,1530.4806744186053
220964_s_at,6.354529295334871e-10,1529.017744186047
202520_s_at,8.696351432214713e-13,1528.7679069767446
212771_at,2.3294604297997324e-11,1528.493953488371
209476_at,4.549811091488144e-15,1527.648395348837
209210_s_at,0.0007042340852543669,1527.1921860465109
201597_at,4.2076319076262795e-12,1526.3730232558132
48612_at,6.186028678014506e-12,1526.1886046511631
210968_s_at,9.501199141934426e-07,1521.112953488372
210338_s_at,5.99983890257298e-10,1520.5661860465113
204102_s_at,3.738218041916445e-07,1518.4049999999997
213657_s_at,1.5173804545543987e-12,1517.6977209302322
200025_s_at,2.5162082744106933e-07,1511.5688372093018
208738_x_at,1.1156381935481624e-13,1509.2716976744186
213881_x_at,2.1525121713402983e-08,1507.9995348837201
208746_x_at,2.1481882294983645e-14,1503.6058139534878
200041_s_at,1.1801864580220949e-07,1502.8592813953485
212667_at,5.139350409544893e-06,1498.9489534883717
200652_at,5.579356809583258e-09,1497.5633953488364
221707_s_at,1.2188073581646251e-05,1497.289023255814
204007_at,6.951846071268648e-11,1496.1073255813956
